tipoCurto,n,m1,m2,m3,A_I800,B_I800,C_I800,A_I800A,B_I800A,C_I800A,A_I802,B_I802,C_I802,A_I802A,B_I802A,C_I802A,A_I806,B_I806,C_I806,A_I806A,B_I806A,C_I806A,A_I808,B_I808,C_I808,A_I808A,B_I808A,C_I808A,A_I812,B_I812,C_I812,A_I812A,B_I812A,C_I812A,A_I814,B_I814,C_I814,A_I814A,B_I814A,C_I814A,A_I816,B_I816,C_I816,A_I816A,B_I816A,C_I816A,A_I818,B_I818,C_I818,A_I818A,B_I818A,C_I818A,A_I820,B_I820,C_I820,A_I820A,B_I820A,C_I820A,A_I822,B_I822,C_I822,A_I822A,B_I822A,C_I822A,A_I824,B_I824,C_I824,A_I824A,B_I824A,C_I824A,A_I828,B_I828,C_I828,A_I828A,B_I828A,C_I828A,A_I830,B_I830,C_I830,A_I830A,B_I830A,C_I830A,A_I832,B_I832,C_I832,A_I832A,B_I832A,C_I832A,A_I850,B_I850,C_I850,A_I850A,B_I850A,C_I850A,A_I852,B_I852,C_I852,A_I852A,B_I852A,C_I852A,A_I854,B_I854,C_I854,A_I854A,B_I854A,C_I854A,A_IRG10,B_IRG10,C_IRG10,A_IRG10A,B_IRG10A,C_IRG10A,A_IRG11,B_IRG11,C_IRG11,A_IRG11A,B_IRG11A,C_IRG11A
1,1,0.001,0.5,0.5,573.9527,64.65402,44.90484,-0.7583034,-2.166242,2.105264,573.9964,64.65865,44.90419,-0.7583839,-2.167233,2.103836,574.0102,63.19852,43.71827,-0.7584619,-2.158368,2.11795,574.4686,61.79239,42.51867,-0.7593479,-2.161288,2.11525,574.863,60.23353,42.51498,-0.7600471,-2.164034,2.094438,574.6969,60.14198,42.66228,-0.7599211,-2.170178,2.086046,522.453,60.11739,42.641,-0.7599234,-2.170255,2.085763,4.585734e-06,5.337413e-05,5.337413e-05,-1.221933,0.5386706,0.5386706,3.681417e-06,5.337413e-05,5.337413e-05,-1.237303,0.5386706,0.5386706,1.843968e-06,5.337413e-05,5.337413e-05,-1.241734,0.5386706,0.5386706,8.712197e-18,4.43514,5.506054e-17,-0.9237349,-2.750516,-1.496238,17.95321,56.0529,39.98298,-0.6383306,-2.133114,2.099751,18.03992,56.0576,39.98644,-0.643389,-2.141764,2.08887,15.26051,51.86319,36.80632,-0.6271447,-2.145069,2.094695,522.4516,60.117,42.64085,-0.7599211,-2.170131,2.08592,16.78582,54.48222,38.90002,-0.6271443,-2.145157,2.094829,16.998,55.02911,38.70157,-0.6376314,-2.13822,2.106262,522.4517,60.11704,42.64079,-0.7599212,-2.170128,2.085923,15.26057,51.86324,36.80626,-0.6271483,-2.145066,2.094699
2,2,0.001,0.5,0.5,75.4584,64.3988,62.1223,-0.24774,-2.25107,2.0238,75.4741,64.4089,62.1268,-0.248564,-2.25206,2.02277,75.464,62.8957,60.8944,-0.249185,-2.24522,2.03144,75.6357,61.4901,59.7046,-0.259368,-2.25008,2.02796,75.8501,59.9077,59.7511,-0.270751,-2.25625,2.0129,75.8373,60.0181,59.7331,-0.273024,-2.25964,2.00815,70.12,57.8291,57.5537,-0.273193,-2.25981,2.00801,18.4782,2.79846e-05,2.79846e-05,-0.49786,1.96106,1.96106,14.7509,2.79846e-05,2.79846e-05,-0.513548,1.96106,1.96106,7.39632,2.79846e-05,2.79846e-05,-0.518108,1.96106,1.96106,3.52317e-17,4.4289,5.80339e-17,-1.31267,-2.59961,-1.83981,52.1864,53.2773,55.0007,-0.199744,-2.23865,2.0253,51.4957,53.3223,55.0135,-0.205237,-2.24735,2.01684,45.9287,48.2789,49.0518,-0.192057,-2.24436,2.01507,70.1183,57.8282,57.5534,-0.273093,-2.25969,2.00813,49.683,51.9223,53.0602,-0.191993,-2.24433,2.01508,49.711,52.2426,53.0958,-0.187549,-2.24022,2.02142,70.1183,57.8281,57.5534,-0.273092,-2.25969,2.00813,45.9287,48.2788,49.0518,-0.192056,-2.24436,2.01507
1,3,0.1,0.5,0.5,573.5601,64.64784,44.91363,-0.7580877,-2.166285,2.105153,573.6038,64.65247,44.913,-0.7581682,-2.167275,2.103725,573.6176,63.19231,43.727,-0.7582463,-2.158411,2.117833,574.0759,61.78617,42.52741,-0.7591332,-2.161332,2.115131,574.4704,60.22728,42.5238,-0.7598335,-2.164081,2.094322,574.3044,60.13593,42.67101,-0.7597076,-2.170224,2.085935,522.0962,60.11134,42.64973,-0.7597101,-2.170301,2.085652,4.582388e-06,5.333928e-05,5.333928e-05,-1.221747,0.5392603,0.5392603,3.678731e-06,5.333928e-05,5.333928e-05,-1.237116,0.5392603,0.5392603,1.842622e-06,5.333928e-05,5.333928e-05,-1.241548,0.5392603,0.5392603,8.728667e-18,4.435135,5.5061e-17,-0.925475,-2.75038,-1.496448,17.98149,56.0464,39.99168,-0.637622,-2.133167,2.099638,18.06757,56.05112,39.99518,-0.6426899,-2.141818,2.08876,15.28526,51.85731,36.81389,-0.6264348,-2.145119,2.094581,522.0948,60.11094,42.64958,-0.7597077,-2.170177,2.085809,16.81306,54.47604,38.90802,-0.6264339,-2.145207,2.094715,17.02496,55.02269,38.7097,-0.6368916,-2.138271,2.106141,522.0948,60.11098,42.64953,-0.7597078,-2.170175,2.085812,15.28531,51.85736,36.81384,-0.6264383,-2.145117,2.094585
2,4,0.1,0.5,0.5,75.4584,64.3988,62.1223,-0.24774,-2.25107,2.0238,75.4741,64.4089,62.1268,-0.248564,-2.25206,2.02277,75.464,62.8957,60.8944,-0.249185,-2.24522,2.03144,75.6357,61.4901,59.7046,-0.259368,-2.25008,2.02796,75.8501,59.9077,59.7511,-0.270751,-2.25625,2.0129,75.8373,60.0181,59.7331,-0.273024,-2.25964,2.00815,70.12,57.8291,57.5537,-0.273193,-2.25981,2.00801,18.4782,2.79846e-05,2.79846e-05,-0.49786,1.96106,1.96106,14.7509,2.79846e-05,2.79846e-05,-0.513548,1.96106,1.96106,7.39632,2.79846e-05,2.79846e-05,-0.518108,1.96106,1.96106,3.52317e-17,4.4289,5.80339e-17,-1.31267,-2.59961,-1.83981,52.1864,53.2773,55.0007,-0.199744,-2.23865,2.0253,51.4957,53.3223,55.0135,-0.205237,-2.24735,2.01684,45.9287,48.2789,49.0518,-0.192057,-2.24436,2.01507,70.1183,57.8282,57.5534,-0.273093,-2.25969,2.00813,49.683,51.9223,53.0602,-0.191993,-2.24433,2.01508,49.711,52.2426,53.0958,-0.187549,-2.24022,2.02142,70.1183,57.8281,57.5534,-0.273092,-2.25969,2.00813,45.9287,48.2788,49.0518,-0.192056,-2.24436,2.01507
1,5,0.2,0.5,0.5,573.1641,64.64161,44.92251,-0.75787,-2.166328,2.10504,573.2079,64.64624,44.92188,-0.7579506,-2.167319,2.103613,573.2216,63.18605,43.73581,-0.7580288,-2.158454,2.117715,573.6798,61.77991,42.53623,-0.7589167,-2.161377,2.11501,574.0744,60.22098,42.5327,-0.7596179,-2.164128,2.094206,573.9086,60.12982,42.67982,-0.7594924,-2.17027,2.085823,521.7363,60.10523,42.65854,-0.7594948,-2.170348,2.08554,4.579013e-06,5.330414e-05,5.330414e-05,-1.221559,0.5398556,0.5398556,3.676021e-06,5.330414e-05,5.330414e-05,-1.236928,0.5398556,0.5398556,1.841265e-06,5.330414e-05,5.330414e-05,-1.24136,0.5398556,0.5398556,8.74531e-18,4.43513,5.506146e-17,-0.9272226,-2.750243,-1.496659,18.01003,56.03984,40.00047,-0.636909,-2.133221,2.099525,18.09547,56.04459,40.00399,-0.6419864,-2.141873,2.088649,15.31022,51.85137,36.82154,-0.6257205,-2.14517,2.094466,521.7349,60.10484,42.65839,-0.7594924,-2.170223,2.085697,16.84054,54.46981,38.91609,-0.6257193,-2.145258,2.094599,17.05216,55.01622,38.71791,-0.6361474,-2.138322,2.106018,521.7349,60.10487,42.65833,-0.7594925,-2.170221,2.0857,15.31028,51.85143,36.82148,-0.6257241,-2.145167,2.094469
2,6,0.2,0.5,0.5,75.4584,64.3988,62.1223,-0.24774,-2.25107,2.0238,75.4741,64.4089,62.1268,-0.248564,-2.25206,2.02277,75.464,62.8957,60.8944,-0.249185,-2.24522,2.03144,75.6357,61.4901,59.7046,-0.259368,-2.25008,2.02796,75.8501,59.9077,59.7511,-0.270751,-2.25625,2.0129,75.8373,60.0181,59.7331,-0.273024,-2.25964,2.00815,70.12,57.8291,57.5537,-0.273193,-2.25981,2.00801,18.4782,2.79846e-05,2.79846e-05,-0.49786,1.96106,1.96106,14.7509,2.79846e-05,2.79846e-05,-0.513548,1.96106,1.96106,7.39632,2.79846e-05,2.79846e-05,-0.518108,1.96106,1.96106,3.52317e-17,4.4289,5.80339e-17,-1.31267,-2.59961,-1.83981,52.1864,53.2773,55.0007,-0.199744,-2.23865,2.0253,51.4957,53.3223,55.0135,-0.205237,-2.24735,2.01684,45.9287,48.2789,49.0518,-0.192057,-2.24436,2.01507,70.1183,57.8282,57.5534,-0.273093,-2.25969,2.00813,49.683,51.9223,53.0602,-0.191993,-2.24433,2.01508,49.711,52.2426,53.0958,-0.187549,-2.24022,2.02142,70.1183,57.8281,57.5534,-0.273092,-2.25969,2.00813,45.9287,48.2788,49.0518,-0.192056,-2.24436,2.01507
1,7,0.3,0.5,0.5,572.7687,64.63539,44.93137,-0.7576527,-2.166371,2.104928,572.8125,64.64002,44.93075,-0.7577334,-2.167362,2.103501,572.8262,63.1798,43.74461,-0.7578116,-2.158498,2.117597,573.2844,61.77366,42.54504,-0.7587004,-2.161422,2.11489,573.6789,60.21469,42.54159,-0.7594027,-2.164175,2.09409,573.5133,60.12372,42.68861,-0.7592774,-2.170317,2.085712,521.3769,60.09914,42.66734,-0.7592798,-2.170394,2.085429,4.575643e-06,5.326905e-05,5.326905e-05,-1.221371,0.5404505,0.5404505,3.673316e-06,5.326905e-05,5.326905e-05,-1.236741,0.5404505,0.5404505,1.83991e-06,5.326905e-05,5.326905e-05,-1.241173,0.5404505,0.5404505,8.76196e-18,4.435125,5.506193e-17,-0.9289602,-2.750105,-1.49687,18.03852,56.0333,40.00924,-0.6361988,-2.133275,2.099413,18.12333,56.03806,40.01279,-0.6412855,-2.141928,2.088539,15.33515,51.84545,36.82917,-0.6250091,-2.14522,2.094351,521.3755,60.09874,42.66719,-0.7592774,-2.17027,2.085586,16.86798,54.46359,38.92415,-0.6250074,-2.145308,2.094484,17.07932,55.00976,38.7261,-0.635406,-2.138373,2.105897,521.3756,60.09878,42.66713,-0.7592775,-2.170268,2.085588,15.33521,51.8455,36.82912,-0.6250126,-2.145218,2.094354
2,8,0.3,0.5,0.5,75.4584,64.3988,62.1223,-0.24774,-2.25107,2.0238,75.4741,64.4089,62.1268,-0.248564,-2.25206,2.02277,75.464,62.8957,60.8944,-0.249185,-2.24522,2.03144,75.6357,61.4901,59.7046,-0.259368,-2.25008,2.02796,75.8501,59.9077,59.7511,-0.270751,-2.25625,2.0129,75.8373,60.0181,59.7331,-0.273024,-2.25964,2.00815,70.12,57.8291,57.5537,-0.273193,-2.25981,2.00801,18.4782,2.79846e-05,2.79846e-05,-0.49786,1.96106,1.96106,14.7509,2.79846e-05,2.79846e-05,-0.513548,1.96106,1.96106,7.39632,2.79846e-05,2.79846e-05,-0.518108,1.96106,1.96106,3.52317e-17,4.4289,5.80339e-17,-1.31267,-2.59961,-1.83981,52.1864,53.2773,55.0007,-0.199744,-2.23865,2.0253,51.4957,53.3223,55.0135,-0.205237,-2.24735,2.01684,45.9287,48.2789,49.0518,-0.192057,-2.24436,2.01507,70.1183,57.8282,57.5534,-0.273093,-2.25969,2.00813,49.683,51.9223,53.0602,-0.191993,-2.24433,2.01508,49.711,52.2426,53.0958,-0.187549,-2.24022,2.02142,70.1183,57.8281,57.5534,-0.273092,-2.25969,2.00813,45.9287,48.2788,49.0518,-0.192056,-2.24436,2.01507
1,9,0.4,0.5,0.5,572.374,64.62918,44.94022,-0.7574357,-2.166414,2.104816,572.4177,64.63382,44.93961,-0.7575164,-2.167405,2.103389,572.4314,63.17356,43.7534,-0.7575946,-2.158541,2.11748,572.8895,61.76742,42.55383,-0.7584844,-2.161466,2.11477,573.2841,60.20841,42.55046,-0.7591878,-2.164222,2.093974,573.1186,60.11763,42.6974,-0.7590627,-2.170364,2.0856,521.0181,60.09305,42.67612,-0.7590652,-2.170441,2.085318,4.572278e-06,5.323404e-05,5.323404e-05,-1.221184,0.5410451,0.5410451,3.670615e-06,5.323404e-05,5.323404e-05,-1.236554,0.5410451,0.5410451,1.838557e-06,5.323404e-05,5.323404e-05,-1.240985,0.5410451,0.5410451,8.778616e-18,4.43512,5.50624e-17,-0.9306879,-2.749968,-1.497082,18.06697,56.02676,40.01799,-0.6354913,-2.13333,2.0993,18.15114,56.03155,40.02158,-0.6405873,-2.141982,2.088429,15.36004,51.83954,36.8368,-0.6243004,-2.145271,2.094236,521.0167,60.09266,42.67597,-0.7590628,-2.170317,2.085474,16.89538,54.45738,38.9322,-0.6242984,-2.145359,2.09437,17.10644,55.00331,38.73428,-0.6346675,-2.138424,2.105775,521.0168,60.0927,42.67592,-0.7590628,-2.170314,2.085477,15.3601,51.83959,36.83674,-0.6243039,-2.145269,2.09424
2,10,0.4,0.5,0.5,75.4584,64.3988,62.1223,-0.24774,-2.25107,2.0238,75.4741,64.4089,62.1268,-0.248564,-2.25206,2.02277,75.464,62.8957,60.8944,-0.249185,-2.24522,2.03144,75.6357,61.4901,59.7046,-0.259368,-2.25008,2.02796,75.8501,59.9077,59.7511,-0.270751,-2.25625,2.0129,75.8373,60.0181,59.7331,-0.273024,-2.25964,2.00815,70.12,57.8291,57.5537,-0.273193,-2.25981,2.00801,18.4782,2.79846e-05,2.79846e-05,-0.49786,1.96106,1.96106,14.7509,2.79846e-05,2.79846e-05,-0.513548,1.96106,1.96106,7.39632,2.79846e-05,2.79846e-05,-0.518108,1.96106,1.96106,3.52317e-17,4.4289,5.80339e-17,-1.31267,-2.59961,-1.83981,52.1864,53.2773,55.0007,-0.199744,-2.23865,2.0253,51.4957,53.3223,55.0135,-0.205237,-2.24735,2.01684,45.9287,48.2789,49.0518,-0.192057,-2.24436,2.01507,70.1183,57.8282,57.5534,-0.273093,-2.25969,2.00813,49.683,51.9223,53.0602,-0.191993,-2.24433,2.01508,49.711,52.2426,53.0958,-0.187549,-2.24022,2.02142,70.1183,57.8281,57.5534,-0.273092,-2.25969,2.00813,45.9287,48.2788,49.0518,-0.192056,-2.24436,2.01507
1,11,0.5,0.5,0.5,571.9798,64.62299,44.94906,-0.7572189,-2.166457,2.104705,572.0235,64.62762,44.94845,-0.7572997,-2.167448,2.103278,572.0372,63.16734,43.76217,-0.757378,-2.158585,2.117363,572.4952,61.76119,42.56261,-0.7582687,-2.161511,2.114651,572.8898,60.20214,42.55933,-0.7589731,-2.16427,2.093859,572.7245,60.11156,42.70617,-0.7588483,-2.17041,2.085489,520.6598,60.08698,42.6849,-0.7588508,-2.170488,2.085207,4.568918e-06,5.319908e-05,5.319908e-05,-1.220997,0.5416393,0.5416393,3.667917e-06,5.319908e-05,5.319908e-05,-1.236367,0.5416393,0.5416393,1.837206e-06,5.319908e-05,5.319908e-05,-1.240798,0.5416393,0.5416393,8.795279e-18,4.435115,5.506287e-17,-0.9324057,-2.749831,-1.497293,18.09538,56.02024,40.02674,-0.6347865,-2.133384,2.099188,18.17892,56.02506,40.03035,-0.6398918,-2.142037,2.088319,15.3849,51.83363,36.84441,-0.6235945,-2.145322,2.094122,520.6584,60.08659,42.68475,-0.7588484,-2.170363,2.085363,16.92275,54.45118,38.94024,-0.6235921,-2.145409,2.094255,17.13353,54.99687,38.74245,-0.633932,-2.138476,2.105654,520.6585,60.08662,42.68469,-0.7588484,-2.170361,2.085366,15.38496,51.83369,36.84436,-0.623598,-2.145319,2.094125
2,12,0.5,0.5,0.5,75.4584,64.3988,62.1223,-0.24774,-2.25107,2.0238,75.4741,64.4089,62.1268,-0.248564,-2.25206,2.02277,75.464,62.8957,60.8944,-0.249185,-2.24522,2.03144,75.6357,61.4901,59.7046,-0.259368,-2.25008,2.02796,75.8501,59.9077,59.7511,-0.270751,-2.25625,2.0129,75.8373,60.0181,59.7331,-0.273024,-2.25964,2.00815,70.12,57.8291,57.5537,-0.273193,-2.25981,2.00801,18.4782,2.79846e-05,2.79846e-05,-0.49786,1.96106,1.96106,14.7509,2.79846e-05,2.79846e-05,-0.513548,1.96106,1.96106,7.39632,2.79846e-05,2.79846e-05,-0.518108,1.96106,1.96106,3.52317e-17,4.4289,5.80339e-17,-1.31267,-2.59961,-1.83981,52.1864,53.2773,55.0007,-0.199744,-2.23865,2.0253,51.4957,53.3223,55.0135,-0.205237,-2.24735,2.01684,45.9287,48.2789,49.0518,-0.192057,-2.24436,2.01507,70.1183,57.8282,57.5534,-0.273093,-2.25969,2.00813,49.683,51.9223,53.0602,-0.191993,-2.24433,2.01508,49.711,52.2426,53.0958,-0.187549,-2.24022,2.02142,70.1183,57.8281,57.5534,-0.273092,-2.25969,2.00813,45.9287,48.2788,49.0518,-0.192056,-2.24436,2.01507
1,13,0.6,0.5,0.5,571.5862,64.6168,44.95789,-0.7570024,-2.1665,2.104593,571.6299,64.62144,44.95729,-0.7570833,-2.167491,2.103167,571.6436,63.16112,43.77094,-0.7571617,-2.158628,2.117246,572.1015,61.75497,42.57138,-0.7580532,-2.161556,2.114532,572.4961,60.19589,42.56818,-0.7587587,-2.164317,2.093744,572.3309,60.10549,42.71493,-0.7586342,-2.170456,2.085378,520.302,60.08092,42.69366,-0.7586367,-2.170534,2.085096,4.565563e-06,5.316418e-05,5.316418e-05,-1.22081,0.5422331,0.5422331,3.665224e-06,5.316418e-05,5.316418e-05,-1.23618,0.5422331,0.5422331,1.835857e-06,5.316418e-05,5.316418e-05,-1.240612,0.5422331,0.5422331,8.811947e-18,4.43511,5.506335e-17,-0.9341136,-2.749695,-1.497503,18.12375,56.01373,40.03548,-0.6340844,-2.133438,2.099077,18.20666,56.01857,40.03912,-0.6391989,-2.142092,2.088209,15.40973,51.82774,36.85202,-0.6228914,-2.145372,2.094008,520.3006,60.08052,42.69351,-0.7586343,-2.17041,2.085252,16.95008,54.44499,38.94827,-0.6228885,-2.14546,2.094141,17.16058,54.99044,38.75061,-0.6331992,-2.138527,2.105533,520.3007,60.08056,42.69345,-0.7586343,-2.170407,2.085255,15.40978,51.82779,36.85196,-0.6228948,-2.14537,2.094011
2,14,0.6,0.5,0.5,75.4584,64.3988,62.1223,-0.24774,-2.25107,2.0238,75.4741,64.4089,62.1268,-0.248564,-2.25206,2.02277,75.464,62.8957,60.8944,-0.249185,-2.24522,2.03144,75.6357,61.4901,59.7046,-0.259368,-2.25008,2.02796,75.8501,59.9077,59.7511,-0.270751,-2.25625,2.0129,75.8373,60.0181,59.7331,-0.273024,-2.25964,2.00815,70.12,57.8291,57.5537,-0.273193,-2.25981,2.00801,18.4782,2.79846e-05,2.79846e-05,-0.49786,1.96106,1.96106,14.7509,2.79846e-05,2.79846e-05,-0.513548,1.96106,1.96106,7.39632,2.79846e-05,2.79846e-05,-0.518108,1.96106,1.96106,3.52317e-17,4.4289,5.80339e-17,-1.31267,-2.59961,-1.83981,52.1864,53.2773,55.0007,-0.199744,-2.23865,2.0253,51.4957,53.3223,55.0135,-0.205237,-2.24735,2.01684,45.9287,48.2789,49.0518,-0.192057,-2.24436,2.01507,70.1183,57.8282,57.5534,-0.273093,-2.25969,2.00813,49.683,51.9223,53.0602,-0.191993,-2.24433,2.01508,49.711,52.2426,53.0958,-0.187549,-2.24022,2.02142,70.1183,57.8281,57.5534,-0.273092,-2.25969,2.00813,45.9287,48.2788,49.0518,-0.192056,-2.24436,2.01507
1,15,0.7,0.5,0.5,571.1931,64.61062,44.96671,-0.7567862,-2.166543,2.104482,571.2368,64.61527,44.96611,-0.7568672,-2.167535,2.103056,571.2505,63.15492,43.77969,-0.7569456,-2.158671,2.11713,571.7084,61.74876,42.58014,-0.7578381,-2.1616,2.114413,572.103,60.18964,42.57702,-0.7585447,-2.164364,2.093629,571.938,60.09944,42.72368,-0.7584203,-2.170503,2.085268,519.9448,60.07487,42.70241,-0.7584229,-2.170581,2.084985,4.562213e-06,5.312934e-05,5.312934e-05,-1.220624,0.5428265,0.5428265,3.662534e-06,5.312934e-05,5.312934e-05,-1.235993,0.5428265,0.5428265,1.83451e-06,5.312934e-05,5.312934e-05,-1.240425,0.5428265,0.5428265,8.828621e-18,4.435106,5.506382e-17,-0.9358118,-2.749558,-1.497714,18.15209,56.00723,40.0442,-0.633385,-2.133492,2.098965,18.23437,56.01209,40.04787,-0.6385085,-2.142146,2.0881,15.43452,51.82186,36.85962,-0.622191,-2.145423,2.093894,519.9434,60.07447,42.70226,-0.7584205,-2.170456,2.085142,16.97736,54.43881,38.95629,-0.6221877,-2.14551,2.094027,17.1876,54.98403,38.75876,-0.6324693,-2.138578,2.105413,519.9435,60.07451,42.7022,-0.7584205,-2.170454,2.085145,15.43457,51.82191,36.85956,-0.6221944,-2.14542,2.093898
