tipoCurto,n,m1,m2,m3,A_I800,B_I800,C_I800,A_I800A,B_I800A,C_I800A,A_V802,B_V802,C_V802,A_V802A,B_V802A,C_V802A,A_V806,B_V806,C_V806,A_V806A,B_V806A,C_V806A,A_V808,B_V808,C_V808,A_V808A,B_V808A,C_V808A,A_V812,B_V812,C_V812,A_V812A,B_V812A,C_V812A,A_V814,B_V814,C_V814,A_V814A,B_V814A,C_V814A,A_V816,B_V816,C_V816,A_V816A,B_V816A,C_V816A,A_V818,B_V818,C_V818,A_V818A,B_V818A,C_V818A,A_V820,B_V820,C_V820,A_V820A,B_V820A,C_V820A,A_V822,B_V822,C_V822,A_V822A,B_V822A,C_V822A,A_V824,B_V824,C_V824,A_V824A,B_V824A,C_V824A,A_V828,B_V828,C_V828,A_V828A,B_V828A,C_V828A,A_V830,B_V830,C_V830,A_V830A,B_V830A,C_V830A,A_V832,B_V832,C_V832,A_V832A,B_V832A,C_V832A,A_V850,B_V850,C_V850,A_V850A,B_V850A,C_V850A,A_V852,B_V852,C_V852,A_V852A,B_V852A,C_V852A,A_V854,B_V854,C_V854,A_V854A,B_V854A,C_V854A,A_VRG10,B_VRG10,C_VRG10,A_VRG10A,B_VRG10A,C_VRG10A,A_VRG11,B_VRG11,C_VRG11,A_VRG11A,B_VRG11A,C_VRG11A
1,1,0.001,0.5,0.5,21347.3006,21347.3006,21347.3006,0,-2.0943951,2.0943951,20818.7862,21421.2469,21351.6775,-3.89674591e-05,-2.10002253,2.10029206,20464.494,21472.2029,21355.5842,-8.72856123e-05,-2.10376959,2.10426111,13859.1024,22489.5794,21498.0774,-0.00150665758,-2.17011161,2.17818621,6171.91695,23801.4873,21798.5086,-0.00734762296,-2.23908802,2.26291549,68.9320646,25134.9764,22135.199,-0.15235574,-2.28894209,2.32647932,0.177128528,25145.5048,22138.0828,-0.289922433,-2.28946031,2.32719961,0.00504488047,0,0,-0.764427965,0,0,0.00500508862,0,0,-0.764614668,0,0,0.00500003155,0,0,-0.764629999,0,0,98.3301072,24925.9904,22032.5278,2.39265729,-2.29595734,2.32417453,106.303244,24909.7835,22024.3924,2.39684782,-2.29648838,2.32394464,300.963121,24516.6628,21828.0079,2.43029933,-2.30956593,2.31838227,730.832999,25039.9388,22670.1093,2.43837722,-2.33407507,2.30768478,73.452293,25135.3725,22135.2867,-0.152176158,-2.28895851,2.32650137,664.312367,23847.7225,21462.9136,2.43837916,-2.334069,2.30768741,305.741504,24506.8626,21823.2638,2.43030284,-2.30989884,2.31823791,75.8243702,25134.9763,22135.1989,-0.152347479,-2.28894209,2.32647932,730.743638,25040.1085,22670.2024,2.43837917,-2.33406901,2.30768741
2,2,0.001,0.5,0.5,21347.3006,21347.3006,21347.3006,0,-2.0943951,2.0943951,21295.9054,21310.2583,21313.3511,-0.00092443497,-2.09550178,2.09347851,21261.3236,21286.4303,21291.1616,-0.0015551762,-2.09624167,2.09287853,20613.5014,20860.562,20887.014,-0.0137239916,-2.11011556,2.08190374,19860.4632,20387.5455,20408.262,-0.0288907012,-2.12623089,2.06901529,19242.4968,20056.4233,20015.9817,-0.0407374177,-2.13970361,2.05811463,20797.6424,20802.6368,20760.716,-0.0408288934,-2.13982853,2.05800987,20791.3242,0,0,-0.0408383331,0,0,20631.3859,0,0,-0.0410232031,0,0,20611.1028,0,0,-0.0410382755,0,0,20616.8952,20593.2573,20578.9668,-0.0430174903,-2.14348263,2.05359273,20601.9082,20577.7843,20564.4861,-0.043214776,-2.143779,2.05324094,20239.6083,20200.2715,20214.5167,-0.0479738916,-2.15106843,2.04458323,21178.0908,21038.261,21176.2697,-0.0563798022,-2.1649808,2.02810169,20805.6829,20808.368,20766.3934,-0.0407400489,-2.1397076,2.05811124,19586.8233,19570.6211,19585.1328,-0.0563778504,-2.16497747,2.02810556,20230.8355,20190.8517,20205.9639,-0.0480969449,-2.15125493,2.04436517,20805.9495,20808.5391,20766.5809,-0.0407374168,-2.13970361,2.05811463,21178.2526,21038.4176,21176.4247,-0.0563778495,-2.16497747,2.02810556
1,3,0.1,0.5,0.5,21347.3006,21347.3006,21347.3006,0,-2.0943951,2.0943951,20819.1572,21421.1818,21351.6223,-4.39945331e-05,-2.10001799,2.10028711,20465.1135,21472.0935,21355.4913,-9.58155251e-05,-2.10376204,2.10425287,13864.355,22488.5631,21497.1827,-0.00161264614,-2.17005337,2.17811967,6182.57695,23799.2496,21796.4576,-0.00781876588,-2.23898271,2.26279003,84.3134474,25131.5289,22132.0901,-0.174979355,-2.28880683,2.32631604,17.2568243,25142.0451,22134.9612,-0.276519468,-2.28932475,2.32703594,0.00504119915,0,0,-0.764241702,0,0,0.00500143634,0,0,-0.764428404,0,0,0.00499638296,0,0,-0.764443735,0,0,83.5097712,24922.553,22029.3556,2.30094923,-2.2958197,2.32401142,91.4174077,24906.3479,22021.2159,2.31390355,-2.29635057,2.32378157,285.681199,24513.2679,21824.7279,2.40643762,-2.30942388,2.31822024,714.065854,25036.4587,22666.4597,2.4287389,-2.33392521,2.30752455,90.3737886,25131.9245,22132.1774,-0.175432232,-2.28882323,2.32633808,649.069471,23844.4081,21459.4583,2.42873954,-2.33391915,2.30752717,290.459988,24503.4687,21819.9813,2.40685503,-2.30975668,2.31807592,92.7438779,25131.5288,22132.09,-0.17497283,-2.28880683,2.32631604,713.976453,25036.6284,22666.5528,2.42873954,-2.33391915,2.30752717
2,4,0.1,0.5,0.5,21347.3006,21347.3006,21347.3006,0,-2.0943951,2.0943951,21295.9054,21310.2583,21313.3511,-0.00092443493,-2.09550178,2.09347851,21261.3236,21286.4303,21291.1616,-0.00155517622,-2.09624167,2.09287853,20613.5014,20860.562,20887.014,-0.0137239922,-2.11011556,2.08190374,19860.4632,20387.5455,20408.262,-0.0288907005,-2.12623089,2.06901529,19242.4968,20056.4233,20015.9818,-0.0407374167,-2.13970361,2.05811463,20797.6425,20802.6368,20760.716,-0.0408288933,-2.13982853,2.05800987,20791.3242,0,0,-0.0408383328,0,0,20631.3859,0,0,-0.0410232027,0,0,20611.1029,0,0,-0.0410382745,0,0,20616.8951,20593.2573,20578.9668,-0.0430174897,-2.14348264,2.05359273,20601.9082,20577.7843,20564.4861,-0.0432147754,-2.143779,2.05324094,20239.6083,20200.2715,20214.5166,-0.0479738924,-2.15106842,2.04458323,21178.0909,21038.261,21176.2696,-0.0563797984,-2.1649808,2.02810169,20805.683,20808.368,20766.3934,-0.0407400489,-2.1397076,2.05811124,19586.8233,19570.6211,19585.1327,-0.0563778494,-2.16497747,2.02810556,20230.8355,20190.8517,20205.9639,-0.048096945,-2.15125493,2.04436517,20805.9495,20808.5391,20766.5809,-0.0407374168,-2.13970361,2.05811463,21178.2526,21038.4176,21176.4246,-0.0563778482,-2.16497747,2.02810556
1,5,0.2,0.5,0.5,21347.3006,21347.3006,21347.3006,0,-2.0943951,2.0943951,20819.5313,21421.1161,21351.5668,-4.90577601e-05,-2.10001341,2.10028212,20465.7383,21471.9832,21355.3978,-0.00010440655,-2.10375443,2.10424456,13869.6533,22487.5377,21496.2809,-0.00171931827,-2.16999463,2.17805254,6193.33064,23796.9921,21794.3904,-0.00829165178,-2.23887651,2.26266344,99.857136,25128.051,22128.9565,-0.190671655,-2.28867042,2.32615127,34.4827056,25138.555,22131.8149,-0.276264089,-2.28918804,2.32687077,0.00503748617,0,0,-0.764053844,0,0,0.00499775265,0,0,-0.764240546,0,0,0.00499270298,0,0,-0.764255877,0,0,69.5787259,24919.0854,22026.1581,2.16996755,-2.2956809,2.32384682,77.2888159,24902.8821,22018.0141,2.19865183,-2.29621159,2.32361701,270.454741,24509.8431,21821.4217,2.37963519,-2.30928062,2.31805673,697.228363,25032.9479,22662.7807,2.41854054,-2.33377407,2.30736283,107.474478,25128.4462,22129.0434,-0.19140243,-2.28868681,2.32617329,633.762622,23841.0645,21455.9754,2.41853974,-2.33376802,2.30736545,275.230269,24500.0449,21816.6725,2.38056362,-2.30961332,2.31791244,109.841927,25128.0509,22128.9564,-0.190666282,-2.28867042,2.32615127,697.138924,25033.1176,22662.8739,2.41853974,-2.33376802,2.30736546
2,6,0.2,0.5,0.5,21347.3006,21347.3006,21347.3006,0,-2.0943951,2.0943951,21295.9054,21310.2583,21313.3511,-0.00092443495,-2.09550178,2.09347851,21261.3236,21286.4303,21291.1616,-0.00155517624,-2.09624167,2.09287853,20613.5014,20860.562,20887.014,-0.0137239918,-2.11011556,2.08190374,19860.4632,20387.5455,20408.262,-0.0288907014,-2.12623089,2.06901529,19242.4968,20056.4233,20015.9818,-0.0407374178,-2.13970361,2.05811463,20797.6425,20802.6368,20760.716,-0.0408288948,-2.13982853,2.05800987,20791.3242,0,0,-0.0408383328,0,0,20631.3859,0,0,-0.0410232043,0,0,20611.1029,0,0,-0.0410382752,0,0,20616.8952,20593.2573,20578.9668,-0.0430174902,-2.14348263,2.05359273,20601.9082,20577.7843,20564.4861,-0.0432147763,-2.143779,2.05324094,20239.6083,20200.2715,20214.5167,-0.0479738911,-2.15106843,2.04458323,21178.0908,21038.261,21176.2697,-0.0563797994,-2.1649808,2.02810169,20805.683,20808.368,20766.3934,-0.0407400492,-2.13970761,2.05811124,19586.8233,19570.6211,19585.1328,-0.0563778486,-2.16497747,2.02810556,20230.8355,20190.8517,20205.9639,-0.0480969449,-2.15125493,2.04436517,20805.9495,20808.5391,20766.581,-0.0407374177,-2.13970361,2.05811463,21178.2526,21038.4176,21176.4247,-0.0563778477,-2.16497747,2.02810556
1,7,0.3,0.5,0.5,21347.3006,21347.3006,21347.3006,0,-2.0943951,2.0943951,20819.9049,21421.0505,21351.5113,-5.41063363e-05,-2.10000884,2.10027714,20466.3623,21471.8729,21355.3045,-0.000112972486,-2.10374683,2.10423625,13874.9442,22486.5134,21495.3812,-0.00182560306,-2.169936,2.17798549,6204.07031,23794.7373,21792.3278,-0.00876153003,-2.23877049,2.26253698,115.395333,25124.5776,22125.8297,-0.202069131,-2.28853423,2.32598665,51.6821612,25135.0693,22128.6755,-0.276054645,-2.28905156,2.32670576,0.00503377873,0,0,-0.763866276,0,0,0.00499407444,0,0,-0.764052979,0,0,0.0049890285,0,0,-0.764068309,0,0,57.4302964,24915.6222,22022.9675,1.97909909,-2.29554232,2.32368237,64.6499972,24899.4207,22014.8192,2.03549081,-2.29607284,2.32345261,255.471505,24506.4227,21818.1225,2.34968636,-2.3091376,2.31789336,680.495397,25029.4417,22659.1095,2.40784628,-2.33362318,2.30720125,124.569241,25124.9723,22125.9162,-0.202919413,-2.28855062,2.32600866,618.550823,23837.7252,21452.4997,2.40784389,-2.33361713,2.30720387,260.238857,24496.6255,21813.3708,2.35124151,-2.30947019,2.31774909,126.933937,25124.5774,22125.8296,-0.20206457,-2.28853423,2.32598665,680.405943,25029.6113,22659.2027,2.40784389,-2.33361713,2.30720387
2,8,0.3,0.5,0.5,21347.3006,21347.3006,21347.3006,0,-2.0943951,2.0943951,21295.9054,21310.2583,21313.3511,-0.000924434931,-2.09550178,2.09347851,21261.3236,21286.4303,21291.1616,-0.00155517624,-2.09624167,2.09287853,20613.5014,20860.562,20887.014,-0.0137239921,-2.11011556,2.08190374,19860.4632,20387.5455,20408.262,-0.0288907004,-2.12623089,2.06901529,19242.4968,20056.4233,20015.9818,-0.0407374182,-2.13970361,2.05811463,20797.6425,20802.6368,20760.716,-0.0408288938,-2.13982853,2.05800987,20791.3242,0,0,-0.0408383331,0,0,20631.3859,0,0,-0.0410232034,0,0,20611.1028,0,0,-0.0410382765,0,0,20616.8952,20593.2573,20578.9668,-0.0430174899,-2.14348263,2.05359273,20601.9082,20577.7843,20564.4861,-0.0432147757,-2.143779,2.05324094,20239.6082,20200.2715,20214.5167,-0.0479738916,-2.15106843,2.04458323,21178.0909,21038.261,21176.2697,-0.0563798012,-2.1649808,2.02810169,20805.6829,20808.368,20766.3934,-0.0407400484,-2.1397076,2.05811124,19586.8233,19570.6211,19585.1327,-0.0563778485,-2.16497747,2.02810556,20230.8355,20190.8518,20205.9639,-0.0480969465,-2.15125493,2.04436517,20805.9495,20808.5391,20766.5809,-0.040737416,-2.13970361,2.05811463,21178.2526,21038.4176,21176.4247,-0.056377848,-2.16497747,2.02810556
1,9,0.4,0.5,0.5,21347.3006,21347.3006,21347.3006,0,-2.0943951,2.0943951,20820.2779,21420.9849,21351.456,-5.91403103e-05,-2.10000428,2.10027216,20466.9854,21471.7627,21355.2113,-0.000121513418,-2.10373925,2.10422796,13880.2276,22485.4903,21494.4835,-0.00193150213,-2.16987747,2.17791853,6214.79595,23792.4853,21790.2696,-0.00922842404,-2.23866465,2.26241066,130.921491,25121.1087,22122.7096,-0.210704655,-2.28839827,2.32582218,68.85525,25131.5882,22125.5428,-0.275856901,-2.2889153,2.3265409,0.00503007681,0,0,-0.763678996,0,0,0.00499040173,0,0,-0.763865699,0,0,0.00498535949,0,0,-0.763881029,0,0,48.397299,24912.1635,22019.7838,1.70320635,-2.29540396,2.32351807,54.5217774,24895.9638,22011.6312,1.80341848,-2.29593431,2.32328835,240.771363,24503.0068,21814.8303,2.31607258,-2.30899481,2.31773013,663.872487,25025.9399,22655.4457,2.39662249,-2.33347253,2.3070398,141.650711,25121.503,22122.7957,-0.211599242,-2.28841464,2.32584418,603.439077,23834.3901,21449.0311,2.39661837,-2.33346648,2.30704242,245.523973,24493.2106,21810.076,2.3183983,-2.30932729,2.3175859,144.012706,25121.1085,22122.7095,-0.210700695,-2.28839827,2.32582218,663.783028,25026.1095,22655.539,2.39661837,-2.33346648,2.30704242
2,10,0.4,0.5,0.5,21347.3006,21347.3006,21347.3006,0,-2.0943951,2.0943951,21295.9054,21310.2583,21313.3511,-0.000924434954,-2.09550178,2.09347851,21261.3236,21286.4303,21291.1616,-0.00155517625,-2.09624167,2.09287853,20613.5014,20860.562,20887.014,-0.0137239918,-2.11011556,2.08190374,19860.4632,20387.5455,20408.262,-0.0288907014,-2.12623089,2.06901529,19242.4968,20056.4233,20015.9818,-0.0407374189,-2.13970361,2.05811463,20797.6425,20802.6368,20760.716,-0.0408288951,-2.13982853,2.05800987,20791.3242,0,0,-0.0408383333,0,0,20631.3859,0,0,-0.0410232045,0,0,20611.1029,0,0,-0.0410382745,0,0,20616.8952,20593.2573,20578.9668,-0.0430174912,-2.14348263,2.05359273,20601.9081,20577.7843,20564.4861,-0.0432147752,-2.143779,2.05324094,20239.6083,20200.2715,20214.5167,-0.0479738923,-2.15106843,2.04458323,21178.0909,21038.261,21176.2696,-0.0563797995,-2.1649808,2.02810169,20805.683,20808.368,20766.3934,-0.0407400496,-2.1397076,2.05811124,19586.8233,19570.6211,19585.1327,-0.0563778487,-2.16497747,2.02810556,20230.8355,20190.8517,20205.9639,-0.0480969459,-2.15125493,2.04436517,20805.9495,20808.5391,20766.581,-0.0407374167,-2.13970361,2.05811463,21178.2526,21038.4176,21176.4247,-0.056377849,-2.16497747,2.02810556
1,11,0.5,0.5,0.5,21347.3006,21347.3006,21347.3006,0,-2.0943951,2.0943951,20820.6505,21420.9194,21351.4008,-6.41597314e-05,-2.09999972,2.1002672,20467.6076,21471.6527,21355.1184,-0.000130029428,-2.10373167,2.10421968,13885.5037,22484.4683,21493.5878,-0.0020370171,-2.16981905,2.17785164,6225.50759,23790.2361,21788.2161,-0.00969235699,-2.23855899,2.26228447,146.431873,25117.6442,22119.5963,-0.217459972,-2.28826253,2.32565787,86.0020308,25128.1116,22122.4168,-0.275664008,-2.28877926,2.32637619,0.0050263804,0,0,-0.763492005,0,0,0.00498673448,0,0,-0.763678707,0,0,0.00498169595,0,0,-0.763694038,0,0,44.3924228,24908.7093,22016.6068,1.34357614,-2.29526583,2.32335391,48.4755304,24892.5113,22008.4499,1.49208327,-2.29579601,2.32312424,226.403581,24499.5952,21811.545,2.27817536,-2.30885225,2.31756705,647.365669,25022.4426,22651.7896,2.38483285,-2.33332212,2.30687849,158.714731,25118.0382,22119.682,-0.21836122,-2.28827889,2.32567985,588.4329,23831.0594,21445.5697,2.38482682,-2.33331607,2.30688111,231.132676,24489.8,21806.7882,2.28145062,-2.30918462,2.31742285,161.074123,25117.6441,22119.5962,-0.217456474,-2.28826253,2.32565787,647.27622,25022.6123,22651.8829,2.38482683,-2.33331607,2.30688111
2,12,0.5,0.5,0.5,21347.3006,21347.3006,21347.3006,0,-2.0943951,2.0943951,21295.9054,21310.2583,21313.3511,-0.000924434936,-2.09550178,2.09347851,21261.3236,21286.4303,21291.1616,-0.00155517621,-2.09624167,2.09287853,20613.5014,20860.562,20887.014,-0.0137239918,-2.11011556,2.08190374,19860.4632,20387.5455,20408.262,-0.0288907008,-2.12623089,2.06901529,19242.4968,20056.4233,20015.9818,-0.0407374178,-2.13970361,2.05811463,20797.6425,20802.6368,20760.716,-0.0408288942,-2.13982853,2.05800987,20791.3242,0,0,-0.0408383325,0,0,20631.3859,0,0,-0.0410232036,0,0,20611.1029,0,0,-0.0410382756,0,0,20616.8951,20593.2573,20578.9668,-0.0430174917,-2.14348263,2.05359273,20601.9082,20577.7843,20564.4861,-0.0432147759,-2.143779,2.05324094,20239.6083,20200.2715,20214.5167,-0.047973891,-2.15106843,2.04458323,21178.0909,21038.261,21176.2697,-0.0563797984,-2.1649808,2.02810169,20805.683,20808.368,20766.3934,-0.0407400477,-2.13970761,2.05811124,19586.8233,19570.6211,19585.1328,-0.0563778493,-2.16497747,2.02810556,20230.8355,20190.8517,20205.9639,-0.0480969467,-2.15125493,2.04436517,20805.9495,20808.5391,20766.5809,-0.0407374162,-2.13970361,2.05811463,21178.2526,21038.4176,21176.4247,-0.056377847,-2.16497747,2.02810556
1,13,0.6,0.5,0.5,21347.3006,21347.3006,21347.3006,0,-2.0943951,2.0943951,20821.0224,21420.854,21351.3457,-6.91646471e-05,-2.09999518,2.10026223,20468.2289,21471.5428,21355.0257,-0.0001385206,-2.10372412,2.1042114,13890.7724,22483.4474,21492.6941,-0.00214214956,-2.16976072,2.17778484,6236.20523,23787.9897,21786.167,-0.0101533518,-2.2384535,2.26215842,161.9242,25114.1843,22116.4897,-0.222877944,-2.28812701,2.32549371,103.122562,25124.6394,22119.2976,-0.275473685,-2.28864344,2.32621164,0.0050226895,0,0,-0.763305301,0,0,0.00498307268,0,0,-0.763492003,0,0,0.00497803786,0,0,-0.763507333,0,0,46.6982408,24905.2596,22013.4367,0.970822296,-2.29512793,2.32318991,48.0489735,24889.0633,22005.2755,1.13761601,-2.29565793,2.32296028,212.429379,24496.188,21808.2667,2.23526002,-2.30870992,2.31740412,630.981571,25018.9498,22648.141,2.3724379,-2.33317195,2.30671731,175.758787,25114.5778,22116.575,-0.22376655,-2.28814336,2.32551568,573.53828,23827.7329,21442.1155,2.37242979,-2.3331659,2.30671993,217.123236,24486.3938,21803.5074,2.23970702,-2.30904218,2.31725994,178.115681,25114.1842,22116.4896,-0.222874813,-2.28812701,2.32549371,630.892144,25019.1194,22648.2344,2.3724298,-2.3331659,2.30671993
2,14,0.6,0.5,0.5,21347.3006,21347.3006,21347.3006,0,-2.0943951,2.0943951,21295.9054,21310.2583,21313.3511,-0.000924434937,-2.09550178,2.09347851,21261.3236,21286.4303,21291.1616,-0.00155517623,-2.09624167,2.09287853,20613.5014,20860.562,20887.014,-0.0137239913,-2.11011556,2.08190374,19860.4632,20387.5455,20408.262,-0.0288907007,-2.12623089,2.06901529,19242.4968,20056.4233,20015.9818,-0.040737418,-2.13970361,2.05811463,20797.6425,20802.6368,20760.716,-0.0408288937,-2.13982853,2.05800987,20791.3242,0,0,-0.0408383317,0,0,20631.3859,0,0,-0.0410232038,0,0,20611.1028,0,0,-0.0410382758,0,0,20616.8951,20593.2573,20578.9668,-0.0430174902,-2.14348263,2.05359273,20601.9082,20577.7843,20564.4861,-0.0432147748,-2.143779,2.05324094,20239.6083,20200.2715,20214.5167,-0.0479738916,-2.15106843,2.04458323,21178.0909,21038.2609,21176.2697,-0.0563797983,-2.1649808,2.02810169,20805.683,20808.368,20766.3934,-0.0407400491,-2.13970761,2.05811124,19586.8233,19570.6211,19585.1327,-0.0563778481,-2.16497747,2.02810556,20230.8355,20190.8517,20205.9639,-0.0480969455,-2.15125493,2.04436517,20805.9495,20808.5391,20766.5809,-0.0407374166,-2.13970361,2.05811463,21178.2526,21038.4176,21176.4247,-0.0563778468,-2.16497747,2.02810556
1,15,0.7,0.5,0.5,21347.3006,21347.3006,21347.3006,0,-2.0943951,2.0943951,20821.3939,21420.7886,21351.2907,-7.4155107e-05,-2.09999064,2.10025728,20468.8493,21471.4329,21354.9332,-0.000146987019,-2.10371657,2.10420314,13896.0337,22482.4278,21491.8025,-0.00224690113,-2.16970249,2.17771812,6246.88889,23785.746,21784.1224,-0.0106114313,-2.23834819,2.2620325,177.397012,25110.7288,22113.3898,-0.227310972,-2.28799171,2.3253297,120.216903,25121.1718,22116.1851,-0.27528495,-2.28850785,2.32604724,0.00501900409,0,0,-0.763118881,0,0,0.00497941634,0,0,-0.763305584,0,0,0.0049743852,0,0,-0.763320915,0,0,54.495391,24901.8143,22010.2733,0.670136539,-2.29499025,2.32302606,53.3520282,24885.6198,22002.1079,0.817301034,-2.29552008,2.32279648,198.925104,24492.7852,21804.9953,2.18646122,-2.30856782,2.31724133,614.727445,25015.4615,22644.5,2.35939495,-2.33302202,2.30655627,192.781279,25111.1219,22113.4747,-0.22817711,-2.28800805,2.32535166,558.761846,23824.4107,21438.6684,2.35938455,-2.33301598,2.30655889,203.56803,24482.992,21800.2334,2.19235439,-2.30889997,2.31709718,195.135772,25110.7287,22113.3897,-0.227308138,-2.28799171,2.3253297,614.638066,25015.6311,22644.5934,2.35938455,-2.33301598,2.30655889
